kind,item,category,class,estimate,se,boundary,lo,hi,segment_label
rho,legislature,5,3,0.15051827482249316,0.024203368839907754,FALSE,0.10859771327821326,0.20490121602831182,Presidential and Military Trust
rho,legislature,6,3,0.05114788734073933,0.017609289324109937,FALSE,0.025616153080099593,0.0995278852319636,Presidential and Military Trust
rho,legislature,7,3,2.886484540008703e-15,2.5342135818841647e-16,TRUE,2.3849711222372935e-15,3.3879979577801125e-15,Presidential and Military Trust
rho,legislature,1,4,0.037805577394612856,0.015021243552482376,FALSE,0.017057570450797404,0.08169300669091166,Broad High Institutional Trust
rho,legislature,2,4,0.006287982163262402,0.006316212990706846,FALSE,8.55266846451753e-4,0.044686289484719435,Broad High Institutional Trust
rho,legislature,3,4,0.036740936426496174,0.017665298728486475,FALSE,0.014005146929063655,0.09290789093943215,Broad High Institutional Trust
rho,legislature,4,4,0.03586960515453868,0.018416368804065143,FALSE,0.012802981673606335,0.09643481329969068,Broad High Institutional Trust
rho,legislature,5,4,0.07065866356563459,0.03007624705025169,FALSE,0.02979923192851957,0.15839613909862837,Broad High Institutional Trust
rho,legislature,6,4,0.20150263370700663,0.03613753187509977,FALSE,0.13926592003809057,0.28242630014087033,Broad High Institutional Trust
rho,legislature,7,4,0.6111346015884487,0.05598774305641627,FALSE,0.4964646475317944,0.7146975460695983,Broad High Institutional Trust
rho,legislature,1,5,3.3542940329129292e-15,3.192904849472245e-16,TRUE,2.722427549707045e-15,3.986160516118813e-15,Concentrated High Institutional Trust
rho,legislature,2,5,0.00361993962936258,0.0036741016887013095,FALSE,4.83706206424424e-4,0.026550591678270345,Concentrated High Institutional Trust
rho,legislature,3,5,0.006318829533937325,0.006968432251883258,FALSE,7.06713902102426e-4,0.054085444266093435,Concentrated High Institutional Trust
rho,legislature,4,5,0.049919734542741914,0.015943230152126536,FALSE,0.02630402042871866,0.0927186631043148,Concentrated High Institutional Trust
rho,legislature,5,5,0.46759224197047494,0.03941396140177366,FALSE,0.3909964668368591,0.5457465832315799,Concentrated High Institutional Trust
rho,legislature,6,5,0.38779041110193513,0.03457891019716035,FALSE,0.3219446809829187,0.4580066066121929,Concentrated High Institutional Trust
rho,legislature,7,5,0.0847588432215447,0.020218690041818175,FALSE,0.05239303446203941,0.1342852918089303,Concentrated High Institutional Trust
rho,public_ministry,1,1,0.009030009254352569,0.005188135443331608,FALSE,0.0028845524807424336,0.02790181885706276,Moderate Institutional Trust
rho,public_ministry,2,1,0.019130710203534365,0.011438843537412896,FALSE,0.0058032864622464915,0.061181466172131556,Moderate Institutional Trust
rho,public_ministry,3,1,0.09713464125203015,0.02591660704510868,FALSE,0.05655668562891072,0.16183226102126413,Moderate Institutional Trust
rho,public_ministry,4,1,0.3653755319026048,0.02674437137364204,FALSE,0.31424225680216084,0.4197364707321871,Moderate Institutional Trust
rho,public_ministry,5,1,0.35402240477535796,0.033309659523343554,FALSE,0.2911822005589108,0.42234362676979786,Moderate Institutional Trust
rho,public_ministry,6,1,0.1097516842793176,0.017818102223618106,FALSE,0.07913391995801698,0.15028250425234724,Moderate Institutional Trust
rho,public_ministry,7,1,0.04555501833280255,0.01186309648043408,FALSE,0.02706291307851915,0.0756996686055315,Moderate Institutional Trust
rho,public_ministry,1,2,0.622105787113275,0.05503601988665719,FALSE,0.5088008345931926,0.7234789976160675,Generalized Institutional Distrust
rho,public_ministry,2,2,0.15174781887371086,0.04136013477772862,FALSE,0.08652394351356672,0.25254590626450446,Generalized Institutional Distrust
rho,public_ministry,3,2,0.09262785082300726,0.02691078241865682,FALSE,0.05138790895237272,0.16133497529971633,Generalized Institutional Distrust
rho,public_ministry,4,2,0.05432025208929145,0.02224626370831032,FALSE,0.02379897389854823,0.11920421961254159,Generalized Institutional Distrust
rho,public_ministry,5,2,0.04551942350946249,0.022578104550828003,FALSE,0.0167670517347679,0.11767581601661908,Generalized Institutional Distrust
rho,public_ministry,6,2,0.007219088496396353,0.00732864194650114,FALSE,9.602152009135664e-4,0.05214515194264166,Generalized Institutional Distrust
rho,public_ministry,7,2,0.026459779094856636,0.014981382592486322,FALSE,0.008524505650351333,0.07911902269781174,Generalized Institutional Distrust
rho,public_ministry,1,3,0.10606416822906822,0.024527583907700705,FALSE,0.06638892213641791,0.1652531851952609,Presidential and Military Trust
rho,public_ministry,2,3,0.24035582688533472,0.03285361159280036,FALSE,0.18141085855981273,0.3111729230248815,Presidential and Military Trust
rho,public_ministry,3,3,0.34257880137869046,0.031205965491446278,FALSE,0.2837315338221199,0.4067010918478773,Presidential and Military Trust
rho,public_ministry,4,3,0.19255025197788095,0.03370981651461321,FALSE,0.13440010899413452,0.2680682298560404,Presidential and Military Trust
rho,public_ministry,5,3,0.08413636013678881,0.017615121609473774,FALSE,0.05521013377338289,0.12619363114737397,Presidential and Military Trust
rho,public_ministry,6,3,0.03431459139223402,0.012516145273204646,FALSE,0.016549029531761093,0.0697981192574982,Presidential and Military Trust
rho,public_ministry,7,3,2.886484540008706e-15,2.534213581884162e-16,TRUE,2.384971122237297e-15,3.3879979577801152e-15,Presidential and Military Trust
rho,public_ministry,1,4,0.03126997858062802,0.01871227755479435,FALSE,0.009416877107152211,0.09877907153597683,Broad High Institutional Trust
rho,public_ministry,2,4,0.012802721742755338,0.009011266782866234,FALSE,0.0031531793332043,0.05048675948794991,Broad High Institutional Trust
rho,public_ministry,3,4,0.013712898662667767,0.009979728530647226,FALSE,0.0032177350034186293,0.05649942437395993,Broad High Institutional Trust
rho,public_ministry,4,4,0.015864638885850782,0.01303607639124931,FALSE,0.0030791505432430054,0.07760626943715772,Broad High Institutional Trust
rho,public_ministry,5,4,0.022206009422307438,0.028515920149451854,FALSE,0.001685591987411535,0.23398931267177428,Broad High Institutional Trust
rho,public_ministry,6,4,0.16372334126790744,0.029320056975066414,FALSE,0.1135919782586537,0.23023258315226258,Broad High Institutional Trust
rho,public_ministry,7,4,0.7404204114378833,0.04753134916582953,FALSE,0.6361626537832615,0.8231100653574739,Broad High Institutional Trust
rho,public_ministry,1,5,3.354294032912918e-15,3.1929048494722103e-16,TRUE,2.722427549707041e-15,3.986160516118796e-15,Concentrated High Institutional Trust
rho,public_ministry,2,5,0.004901931113493569,0.005371305612170654,FALSE,5.570173431454564e-4,0.04172368892071988,Concentrated High Institutional Trust
rho,public_ministry,3,5,3.354294032912918e-15,3.1929048494722103e-16,TRUE,2.722427549707041e-15,3.986160516118796e-15,Concentrated High Institutional Trust
rho,public_ministry,4,5,0.09555697458551386,0.021896677542691194,FALSE,0.060144017295409476,0.1485260399957765,Concentrated High Institutional Trust
rho,public_ministry,5,5,0.35473641935114303,0.034403675389066954,FALSE,0.2899297740070037,0.4253515240903822,Concentrated High Institutional Trust
rho,public_ministry,6,5,0.43931039932784294,0.03640604199466429,FALSE,0.36901227815463006,0.5121311240669931,Concentrated High Institutional Trust
rho,public_ministry,7,5,0.1054942756219999,0.030011375077266866,FALSE,0.05913398082476408,0.1812006315128846,Concentrated High Institutional Trust
rho,police,1,1,0.07788367001282445,0.017554503987549427,FALSE,0.049492400635033955,0.12049689120121346,Moderate Institutional Trust
rho,police,2,1,0.1739321619253641,0.019439668403373328,FALSE,0.13874373898435247,0.21580886833019416,Moderate Institutional Trust
rho,police,3,1,0.2852270243894397,0.022788946684889184,FALSE,0.24234063884783377,0.3323735078905772,Moderate Institutional Trust
rho,police,4,1,0.25820001911143975,0.02244975012468249,FALSE,0.21630978503782197,0.30504496881973947,Moderate Institutional Trust
rho,police,5,1,0.14492400565541388,0.021669093260898612,FALSE,0.1070697670317546,0.19326485221532994,Moderate Institutional Trust
rho,police,6,1,0.04356108356168637,0.011389064026075067,FALSE,0.025830719816270845,0.07255524945594558,Moderate Institutional Trust
rho,police,7,1,0.016272035343831752,0.005997916728498296,FALSE,0.007818437392745504,0.033556852856771305,Moderate Institutional Trust
rho,police,1,2,0.7566001945389464,0.0422395550717929,FALSE,0.6637871802315802,0.83034043955691506,Generalized Institutional Distrust
rho,police,2,2,0.09479019247100455,0.03647464193161552,FALSE,0.04320071639569723,0.19540494886096332,Generalized Institutional Distrust
rho,police,3,2,0.04692472322529991,0.017921714278275727,FALSE,0.021791990385305774,0.09813519435344155,Generalized Institutional Distrust
rho,police,4,2,0.039953469612608344,0.018568435082961323,FALSE,0.015715439132564776,0.09785742147324686,Generalized Institutional Distrust
rho,police,5,2,0.05518273024198728,0.022098233389271336,FALSE,0.024623619648727675,0.11903863185513758,Generalized Institutional Distrust
rho,police,6,2,6.548567296562224e-15,6.992489943686564e-16,TRUE,5.164774093235152e-15,7.932360499889296e-15,Generalized Institutional Distrust
rho,police,7,2,0.006548689910146925,0.006588063459663192,FALSE,8.877674311570757e-4,0.04662250898359833,Generalized Institutional Distrust
rho,police,1,3,0.35826434605309104,0.04278108656255527,FALSE,0.27865446657864007,0.44653889105786393,Presidential and Military Trust
rho,police,2,3,0.2982865058005402,0.026841199301534214,FALSE,0.24801164308559492,0.35395569602584454,Presidential and Military Trust
rho,police,3,3,0.16186652850276442,0.02984545776242469,FALSE,0.11107925883718071,0.2298698155590326,Presidential and Military Trust
rho,police,4,3,0.10301300297722432,0.019977361081711848,FALSE,0.06965222911938028,0.14977988049736884,Presidential and Military Trust
rho,police,5,3,0.0516546977541073,0.015135156525815202,FALSE,0.02870463416844874,0.0912304318846053,Presidential and Military Trust
rho,police,6,3,0.026914918912269797,0.011585900194133246,FALSE,0.011393780428411061,0.06224835113134019,Presidential and Military Trust
rho,police,7,3,2.8864845400087077e-15,2.534213581884159e-16,TRUE,2.384971122237299e-15,3.3879979577801164e-15,Presidential and Military Trust
rho,police,1,4,0.09426035112846477,0.029892065337504492,FALSE,0.04947349738216716,0.17224439402403668,Broad High Institutional Trust
rho,police,2,4,0.030808304573728927,0.01383377209744013,FALSE,0.012548367026725108,0.07365741587014504,Broad High Institutional Trust
rho,police,3,4,0.037959179453324485,0.01947528442816306,FALSE,0.013547205438806066,0.10182073912235474,Broad High Institutional Trust
rho,police,4,4,0.07439926287117249,0.023944843173598972,FALSE,0.038824379472749436,0.13789493158510793,Broad High Institutional Trust
rho,police,5,4,0.20632210470964887,0.03731258954113974,FALSE,0.14207464209223472,0.2898086108530897,Broad High Institutional Trust
rho,police,6,4,0.1204966614079615,0.03205082661806404,FALSE,0.07002939115641066,0.19953028450078292,Broad High Institutional Trust
rho,police,7,4,0.43575413585569894,0.054588956964533676,FALSE,0.3323033290223403,0.5451174373701678,Broad High Institutional Trust
