strata,upm,wt,post_class1,post_class2,post_class3,post_class4,post_class5,post_class6,modal_class,max_posterior
103,15,1,0.9999999993264908,1.7012076508770186e-16,1.488409454675411e-72,2.3895596856705426e-12,6.711203316406227e-10,6.097560540405185e-111,1,0.9999999993264908
103,117,1,1.2669736164518753e-15,3.345176831512629e-48,1.13399026893808e-6,0.03462191479476164,0.9653769512149665,6.907370303279288e-37,5,0.9653769512149665
101,45,1,1.635861099310825e-23,5.736362529483737e-6,3.8074978278651036e-4,0.09972987601218863,4.768369177151547e-33,0.8998836378424947,6,0.8998836378424947
101,98,1,2.2005140367183297e-24,6.107647620084602e-16,0.9996829423929466,1.0497954511925196e-4,2.114979531845483e-4,5.801087497686765e-7,3,0.9996829423929466
101,47,1,1.002727500108964e-5,1.3949208375961322e-56,0.0015568456694782854,0.9984331270555216,2.017370495733985e-26,2.5899977212209864e-19,4,0.9984331270555216
101,98,1,2.3374653708690094e-13,1.7434012380169307e-8,0.004487699426963081,4.3974607008057364e-4,1.3339525161914857e-10,0.9950725369353137,6,0.9950725369353137
101,47,1,1.1738120725975476e-23,6.070003938879789e-7,0.0161309973496685,0.06149715108447359,2.282380574308274e-12,0.9223712445631815,6,0.9223712445631815
101,67,1,6.804046292326175e-18,0.002678568784116988,2.560288152985554e-29,0.9776562473348299,4.323311664822651e-31,0.019665183881052206,4,0.9776562473348299
103,15,1,9.631218517736479e-40,0.9999997154584556,1.8001878249010043e-91,3.958666782546827e-9,2.0932438203172863e-117,2.8058287792877745e-7,2,0.9999997154584556
103,2,1,0.9997721291726281,7.246613815970249e-14,5.0094394682521446e-51,8.135498295281504e-8,2.277894723147588e-4,4.789804234700969e-80,1,0.9997721291726281
101,54,1,6.488910480387433e-6,1.5326697125568617e-77,9.077822704599643e-8,3.740127707353e-5,0.9999560190342189,4.671988565683063e-57,5,0.9999560190342189
103,118,1,6.36474406996221e-36,2.901821737642331e-10,0.9590918771674917,0.040884961084064635,5.876740109940937e-16,2.316145826032204e-5,3,0.9590918771674917
103,69,1,0.9434564937552301,6.856239796563731e-24,8.702525773489599e-36,8.492155444438855e-5,0.05645858469032567,1.961436925171851e-64,1,0.9434564937552301
102,61,1,0.002426831210278895,9.315245138576403e-47,5.7378097089950986e-5,0.05868716219996962,0.9388286284926619,1.3647812431671206e-47,5,0.9388286284926619
103,102,1,0.9108920146947718,1.4084295839572835e-36,9.771629240262972e-9,0.007050645316429875,0.08205733021717039,2.3925100680849005e-63,1,0.9108920146947718
